"Title","Day","Meal","Calories (kcal)","Protein (g)","Carbs (g)","Fat (g)","Notes","ID","Created Date","Updated Date","Owner"
,,,,,,,,"06a94709-cf3b-4d6c-9118-8382cd3945d6",2025-10-22T08:45:54Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,"Wednesday","Vegetable pulao + 1 boiled egg","360-380","12-14","55-60","10-12","Balanced carb-protein meal","2d904ffe-b12b-4789-9f0e-d50f6f1af11e",2025-10-22T08:45:54Z,2025-10-22T08:47:31Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"429eeb88-199a-4e93-9070-744048bafd8f",2025-10-22T08:45:54Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"6a0b6449-e148-4258-84c1-704f62ff63ae",2025-10-22T08:45:54Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"79304457-84fd-46cb-ad83-2d27f17f5f41",2025-10-14T04:55:44Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,"Monday","Tomato rice + 1 boiled egg","350-380","12-14","55-60","10-12","Egg adds high-quality protein","7da4bef4-5f91-40a6-841c-b063be2d2e1a",2025-10-22T08:45:54Z,2025-10-22T08:47:24Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"80f8839a-2311-49cc-beba-cc504efd915d",2025-10-22T08:45:54Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"8701660b-20c5-454c-96bf-11ed64a99a7c",2025-10-14T04:55:44Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"878ed374-ef88-4d61-9ad0-acfc0d2ab8f2",2025-10-22T08:45:54Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"8c445f8d-51e3-4e8d-8cdd-adbf873b094e",2025-10-14T04:55:44Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,"Saturday","Mixed vegetable rice","300-320","8-10","55-60","6-8","Lower protein without pulses or eggs","a05affc5-65f8-4c08-abc0-381078f37a40",2025-10-22T08:45:54Z,2025-10-22T08:47:42Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"c71ef1e6-1ce5-45df-990d-82d97ffd0432",2025-10-22T08:45:54Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,"Friday","Dal rice + Potato","380-400","12-14","60-65","8-10","Dal adds protein, potato adds carbs","d1af9122-201a-4e03-b5fb-ae5a8962edf6",2025-10-22T08:45:54Z,2025-10-22T08:47:40Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"d4d76178-1567-4350-b6c6-d1b1138933f5",2025-10-22T08:45:54Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"d95a2eaa-027c-43d1-b23c-ddcfc9ab7d53",2025-10-22T08:45:54Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,"Tuesday","Mixed vegetable rice + Chickpeas/Green gram","400-420","14-16","65-70","8-10","Pulses add protein & fiber","db5cbaae-9c5b-4d88-9eff-66d64c1f73bf",2025-10-22T08:45:54Z,2025-10-22T08:47:27Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"dd4551c5-87fb-4f6b-b9df-9c2cb3836c68",2025-10-22T08:45:54Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"e40f7777-5c72-4c4b-9f88-d3a694c1590a",2025-10-14T04:55:44Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,"Thursday","Lemon rice + 1 boiled egg","350-370","11-13","55-58","9-11","Slightly lower protein than tomato rice","e5b65895-af35-4a77-b9d7-48d763d003bd",2025-10-22T08:45:54Z,2025-10-22T08:47:35Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"e7ccf517-bb11-4352-b71f-c22b4e1ab4d4",2025-10-14T04:55:44Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
,,,,,,,,"e9178ab6-d28e-4090-9439-6d6c366fb571",2025-10-14T04:55:44Z,2025-10-22T08:45:55Z,"e8f34e2e-1b73-40c9-a2d1-d05f23b738b3"
