"Status","Goal","Recommended Foods","Meal Pattern","Snack Ideas","Avoid","Activity / Tip","Key Nutrients","Category","Sort Order","ID","Created Date","Updated Date","Owner"
"Obese","Gradual weight management under pediatric supervision","🌱 High-fiber vegetables | 🫘 Lentils & legumes | 🐟 Lean protein | 🌾 Oats & whole wheat | 🥗 Salads | 🍲 Dal soup | 🍗 Grilled fish/chicken","HOW TO EAT: Smaller portions using a small plate; never serve second helpings. Eat slowly and chew well; drink water before meals. Family meals at table, not in front of TV. Establish fixed meal times. 60+ minutes daily activity; limit screen time to <1 hour.

MEAL IDEAS: Vegetable soup + whole wheat roti | Grilled chicken with steamed broccoli | Dal with brown rice | Salad with lemon dressing | Sprout chaat","Sprout salad | Roasted makhana (plain) | Vegetable sticks | Buttermilk | Fruit (no added sugar) | Cucumber | Tomato","Sugar-sweetened beverages, fast food, packaged snacks, excess ghee/oil, white rice, sweets, sugary cereals, fried snacks","60+ minutes daily activity (walking, cycling, swimming, sports); family-based lifestyle changes most effective; MANDATORY pediatric consultation for monitoring; never use restrictive diets","Fiber, lean protein, low glycemic carbs, plenty of water, minerals","Status-Based",4,"07d94a25-72b8-410b-b026-3531536401c0",2026-03-15T05:53:55Z,2026-03-15T05:53:55Z,
"Healthy","Maintain balanced growth with nutritious, varied diet","Seasonal fruits, vegetables, dal/lentils, milk, curd, roti, rice, eggs, fish, whole grains","3 meals + 2 healthy snacks per day","Fresh fruit, sprouts chaat, idli, poha, curd with fruits, boiled egg","Excessive sugary snacks, processed foods; maintain moderation","60+ minutes active outdoor play daily; regular pediatric check-ups every 6 months","Balanced macros — protein, carbs, healthy fats, vitamins, minerals","Status-Based",2,"21960996-5b61-4c47-a5bb-ee5415cb298e",2026-02-18T01:45:30Z,2026-02-18T01:45:30Z,
"0-6 Months","Exclusive breastfeeding — no water, no other food needed","Breast milk only (or formula if medically advised)","On-demand feeding, 8-12 times per day","Not applicable at this age","Water, honey, solid foods, cow's milk, fruit juice","Tummy time for development; regular weight monitoring","All nutrients provided by breast milk","Age-Based Guide",10,"28e27bc8-4506-4892-bf66-6694c588a8c7",2026-02-18T01:45:35Z,2026-02-18T01:45:35Z,
"Overweight","Slow weight gain while height catches up; improve food quality","Vegetables, fruits, lean proteins (chicken, fish, dal), whole grains, low-fat milk, salads","3 controlled-portion meals + 1-2 light snacks; eat slowly, chew well","Cucumber sticks, buttermilk, roasted chana, fruit salad, plain popcorn","Sugary drinks (juice, soda), fried foods, biscuits, chips, white bread, maida, excess oil/ghee","60 minutes daily physical activity (cycling, running, swimming); never put a child on a restrictive 'diet' — focus on food quality","Fiber, lean protein, complex carbohydrates, vitamins","Status-Based",3,"3210594a-6a99-4ef7-8005-ff069adc6470",2026-02-18T01:45:31Z,2026-02-18T01:45:31Z,
"2-5 Years","Balanced plate — build healthy eating habits for life","Cereal/grain + protein + vegetable + fruit + dairy at each meal; roti, rice, dal, paneer, eggs, seasonal vegetables, fruits, milk, curd","3 meals + 2 healthy snacks per day; family meals together","Sprout chaat, peanut butter toast, fruit smoothie, vegetable paratha, idli, poha","Sugary cereals, candy, chips, soda, excessive screen-time snacking","60+ minutes active play daily; involve children in food preparation; make meals colorful and fun","Balanced macros, fiber, iron, calcium, vitamin D, omega-3 (from fish/walnuts)","Age-Based Guide",14,"3af9c88d-8561-494d-af46-900deeaa3b3c",2026-02-18T01:45:39Z,2026-02-18T01:45:39Z,
"Obese","Gradual weight management under pediatric supervision","High-fiber vegetables, lentils, lean protein, oats, whole wheat roti, salads, dal soup, grilled fish/chicken","Smaller portions, no second servings, eat slowly; drink water before meals","Sprout salad, plain roasted makhana, vegetable sticks with hummus, buttermilk","Sugar-sweetened beverages, fast food, packaged snacks, excess ghee/oil, white rice in excess, sweets","60+ minutes daily activity; limit screen time to under 1 hour; mandatory pediatric consultation; family-based lifestyle changes work best","Fiber, protein, low glycemic carbs, plenty of water","Status-Based",4,"42649918-2492-4eb6-b13b-d402fbf8b2af",2026-02-18T01:45:32Z,2026-02-18T01:45:32Z,
"6-8 Months","Introduce complementary foods alongside breastfeeding","Mashed/pureed foods — rice cereal, mashed banana, boiled & mashed potato, dal water, apple puree, suji kheer","2-3 meals per day + breast milk; start with 2-3 tablespoons, gradually increase","Mashed banana, boiled carrot puree, rice porridge","Honey, salt, sugar, whole nuts, cow's milk as main drink","Introduce one new food at a time; wait 3 days before trying another to watch for allergies","Iron-fortified cereals, vitamin C-rich fruits to aid iron absorption","Age-Based Guide",11,"49247f0c-7536-45c7-b19c-c3643299a818",2026-02-18T01:45:36Z,2026-02-18T01:45:36Z,
"1-2 Years","Transition to family foods with appropriate textures","Family foods — roti, rice, dal, vegetables, fruits, whole milk, curd, egg, fish, chicken (if non-veg)","3 meals + 2 snacks per day; offer variety at each meal","Fruit slices, cheese toast, ragi dosa, boiled egg, curd with mashed fruit","Choking hazards, excess sugar/salt, packaged juices, junk food","Encourage self-feeding with spoon; establish regular meal times; whole milk (not low-fat) at this age","Protein, calcium, iron, healthy fats, vitamins A & D","Age-Based Guide",13,"5fd2986a-cecc-4927-a783-51481063a83a",2026-03-15T05:53:59Z,2026-03-15T05:53:59Z,
"Overweight","Slow weight gain while height catches up; improve food quality","🥒 Vegetables | 🍎 Fruits | 🐔 Lean proteins (chicken, fish) | 🫘 Dal & lentils | 🌾 Whole grains | 🥛 Low-fat milk | 🥗 Salads","HOW TO EAT: Serve fixed portions using a small plate; avoid second servings. Use water first, then meal; avoid screen-time eating. Eat slowly and chew well; stop when satisfied. 60 minutes active play daily with regular sleep schedule.

MEAL IDEAS: Vegetable soup + whole wheat bread | Grilled fish/chicken with salad | Dal with brown rice | Fruit chaat | Sprout salad","Cucumber sticks | Buttermilk | Roasted chana | Fruit salad | Plain popcorn | Carrot sticks | Tomato slices","Sugary drinks (juice, soda), fried foods, biscuits, chips, white bread, maida, excess oil/ghee, fast food","60 minutes daily physical activity (cycling, running, swimming); limit screen time; family activities; do NOT put child on restrictive diet — focus on food quality","Fiber, lean protein, complex carbohydrates, vitamins, minerals","Status-Based",3,"727b5b99-a57b-43fb-88b3-ea4281cf9016",2026-03-15T05:53:54Z,2026-03-15T05:53:54Z,
"2-5 Years","Balanced plate — build healthy eating habits for life","Cereal/grain + protein + vegetable + fruit + dairy at each meal; roti, rice, dal, paneer, eggs, seasonal vegetables, fruits, milk, curd","3 meals + 2 healthy snacks per day; family meals together","Sprout chaat, peanut butter toast, fruit smoothie, vegetable paratha, idli, poha","Sugary cereals, candy, chips, soda, excessive screen-time snacking","60+ minutes active play daily; involve children in food preparation; make meals colorful and fun","Balanced macros, fiber, iron, calcium, vitamin D, omega-3 (from fish/walnuts)","Age-Based Guide",14,"83100943-9b4a-4914-aece-ecad92f8ea6d",2026-03-15T05:54:00Z,2026-03-15T05:54:00Z,
